# ----------------------------------------
# Pages et écrans: Chemin de la page et classe de l'écran
# Compte : Oikos
# Propriété : Oikos US GA4
# ----------------------------------------
# 
# Tous les utilisateurs
# Date de début : 20260101
# Date de fin : 20260331
Chemin de la page et classe de l'écran,Vues,Utilisateurs actifs,Vues par utilisateur actif,Durée d'engagement moyenne par utilisateur actif,Nombre d'événements,Événements clés,Revenu total
/greek-yogurt-recipes/desserts/recipe/spice-cake/,62,31,2,55.483870967741936,161,0,0
/greek-yogurt-recipes/savory/recipe/chicken-gyros-rolls-and-homemade-tzatziki-with-greek-yogurt,62,31,2,61.516129032258064,112,0,0
/all-products/pro/,61,41,1.4878048780487805,0.17073170731707318,145,0,0
/content/edp/noram/oikos/us/en/frequently-asked-questions.html,61,5,12.2,387.6,292,0,0
/greek-yogurt-recipes/savory/recipe/creamy-mac-and-cheese/,61,23,2.652173913043478,82.91304347826087,143,0,0
/greek-yogurt-recipes/desserts/recipe/fluffy-biscuits-with-strawberries,59,31,1.903225806451613,15.387096774193548,116,0,0
/greek-yogurt-recipes/savory/recipe/chickpea-shawarma-lemon-dill-yogurt-sauce,58,28,2.0714285714285716,42,120,0,0
/greek-yogurt-recipes/breakfast/recipe/fruit-scones/,57,26,2.1923076923076925,10.615384615384615,128,0,0
/greek-yogurt-recipes/seasonal/recipe/mini-pumpkin-pie-bites,57,28,2.0357142857142856,17.25,109,0,0
/greek-yogurt-recipes/savory/recipe/mediterranean-bbq-chicken,56,29,1.9310344827586208,41.793103448275865,100,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/crab-dip,55,26,2.1153846153846154,24.307692307692307,105,0,0
/greek-yogurt-recipes/savory/,54,28,1.9285714285714286,3.7857142857142856,98,0,0
/greek-yogurt-recipes/savory/recipe/roasted-red-pepper-soup-yogurt-pesto-swirl,54,25,2.16,21.4,105,0,0
/greek-yogurt-recipes/seasonal/recipe/spiced-apple-crumble/,54,26,2.076923076923077,7.1923076923076925,134,0,0
/content/edp/noram/oikos/us/en.danone-devices.html,53,5,10.6,206.8,198,0,0
/content/edp/noram/oikos/us/en/all-products/pro-yogurt-cultured-ultra-filtered-milk.html,53,12,4.416666666666667,94.25,139,0,0
/home/,53,25,2.12,3.72,146,0,0
/esb/43/foundations/,52,28,1.8571428571428572,2.25,144,0,0
/studio/698518efb4171e9f589e0fd4,52,9,5.777777777777778,31,127,0,0
/greek-yogurt-recipes/desserts/,51,32,1.59375,5.8125,92,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/caesar-dressing-recipe,51,23,2.217391304347826,13.869565217391305,95,0,0
/greek-yogurt-recipes/savory/recipe/mediterranean-bbq-chicken/,50,20,2.5,30,126,0,0
/greek-yogurt-recipes/desserts/recipe/fluffy-biscuits-with-strawberries/,49,22,2.227272727272727,11.363636363636363,105,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/mango-pineapple-drink,48,19,2.526315789473684,6.421052631578948,129,0,0
/all-products/oikos-protein-shakes/product/strawberry/,46,5,9.2,23.8,141,0,0
/greek-yogurt-recipes/breakfast/recipe/baked-creamy-yogurt-polenta/,46,19,2.4210526315789473,55.578947368421055,130,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/warm-artichoke-and-onion-dip,46,19,2.4210526315789473,35.78947368421053,85,0,0
/home-2/stronger-makes-everything-better/,46,6,7.666666666666667,38,82,0,0
/all-products/triple-zero/product/vanilla,45,23,1.9565217391304348,1.173913043478261,122,0,0
/all-products/triple-zero/strawberry/,44,23,1.9130434782608696,4.217391304347826,118,0,0
/studio/680a466caae6d10f351257c3,44,8,5.5,7.125,130,0,0
/all-products/high-protein/plain-greek-yogurt/,43,21,2.0476190476190474,4,105,0,0
/all-products/protein-shakes/,43,17,2.5294117647058822,2.5294117647058822,107,0,0
/content/edp/noram/oikos/us/en/all-products/oikos-protein-shakes.html,43,5,8.6,198.6,114,0,0
/all-products/triple-zero/mixed-berry/,41,20,2.05,1.75,113,0,0
/all-products/pro-yogurt-cultured-ultra-filtered-milk/product/peach,40,20,2,4.15,114,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/creamy-spiced-hummus,40,19,2.1052631578947367,26.736842105263158,77,0,0
/home-2/,40,4,10,55.25,72,0,0
/greek-yogurt-recipes/dips-and-dressings/recipe/tuscany-harvest-dip,39,19,2.0526315789473686,17.736842105263158,67,0,0
/thank-you/,39,22,1.7727272727272727,0.8636363636363636,95,0,0
/greek-yogurt-recipes/seasonal/recipe/pumpkin-yogurt-delight,38,17,2.235294117647059,22.058823529411764,70,0,0
